Occ1,Flow1,Occ2,Flow2,Occ3,Flow3
0.0016,2,0.0075,13,0.0066,5
0.0024,4,0.0081,11,0.0036,6
0.0008,1,0.0054,10,0.0041,7
0.0028,4,0.0134,22,0.0073,7
0.0016,2,0.0101,14,0.0034,6
0,0,0.0078,13,0.0051,9
0.0027,4,0.009,16,0.0098,12
0.0018,3,0.0115,18,0.0056,9
0.0034,5,0.0128,19,0.0054,10
0.006,8,0.0133,23,0.0099,14
0.0013,2,0.0101,15,0.003,5
0.0056,9,0.0112,20,0.0092,12
0.002,3,0.0097,18,0.0048,8
0.0037,5,0.0121,20,0.0066,11
0.0063,9,0.0164,28,0.0078,13
0.0069,10,0.0152,26,0.0091,11
0.0044,6,0.0161,27,0.0104,19
0.0099,15,0.0163,29,0.0134,14
0.0115,17,0.0171,27,0.0118,15
0.015,22,0.0216,33,0.0135,21
0.0122,18,0.027,42,0.0144,19
0.0161,25,0.0227,39,0.0107,18
0.0115,17,0.0255,43,0.0107,15
0.0117,17,0.0221,40,0.0107,15
0.0109,17,0.0177,30,0.012,17
0.0197,29,0.0322,52,0.0172,26
0.0236,36,0.0336,52,0.0164,24
0.0238,37,0.0305,51,0.0135,20
0.0217,32,0.0317,54,0.0219,32
0.0175,25,0.0207,37,0.0186,29
0.0206,29,0.0268,45,0.0162,24
0.0225,34,0.0326,55,0.0171,24
